Next Day Flyers,id=gra-NDF,"Websites: UP, NDF",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[2]/label
PrintPlace,id=gra-PP,"Websites: UP, NDF, PP",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[3]/label
Print Runner,id=gra-PR,"Websites: UP, NDF, PP, PR",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[4]/label
48 Hour Print,id=gra-48HP,"Websites: UP, NDF, PP, PR, 48HP",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[5]/label
Prints Made Easy,id=gra-PME,"Websites: UP, NDF, PP, PR, 48HP, PME",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[6]/label
Business Cards 24,id=gra-BC24,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[7]/label
Postcards.com,id=gra-PC,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[8]/label
YouPrint,id=gra-YP,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[9]/label
YouPrint Labels,id=gra-YPL,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[10]/label
24HourPrint,id=gra-RPS,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[11]/label
Digital Room,id=gra-DR,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[12]/label
Live Nation Printing,id=gra-D-LNP,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR, D-LNP",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[13]/label
Hotcards,id=gra-HC,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR, D-LNP, HC",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[14]/label
Bargain Basement Printing,id=gra-BBP,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR, D-LNP, HC, BBP",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[15]/label
Chan Printing,id=gra-CHAN,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR, D-LNP, HC, BBP, CHAN",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[16]/label
V12 Group,id=gra-CPV12,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR, D-LNP, HC, BBP, CHAN, CPV12",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[17]/label
NNA Services,id=gra-D-NNA,"Websites: UP, NDF, PP, PR, 48HP, PME, BC24, PC, YP, YPL, RPS, DR, D-LNP, HC, BBP, CHAN, CPV12, D-NNA",//div[@id='wid-id-0']/div/div/div/div/div[2]/div/ul/li[18]/label
