Click_link_name,click_link,Parent_column,Parent_location,Discount_sub_menu,Discount_sub_menu_location,Sales_tax_sub_menu,Sales_tax_location,shipping_sub_menu,shipping_location,payments_sub_menu,payments_location,accounts_receivable_sub_menu,accounts_receivable_location,Date column,
8,,10,,17,,6,,4,,9,,6,,3,
Discount,css=div.accordion-toggle,Net Sales,css=td > strong,-,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr/td[2],California,//tbody[@id='states']/tr/td[2],Mailing Service Postage,//tbody[@id='shipping']/tr/td[2],Chase Paymentech,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[10]/tr/td[2],COD,//tbody[@id='receivables']/tr/td[2],"January 29, 2015",//div[@id='wid-id-1']/div/div[2]/div/table/thead/tr/th[4]
Sales Tax,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[4]/tr/td/strong/div,Discounts,css=div.accordion-toggle,2/10 Terms Discount,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[2]/td[2],New Jersey,//tbody[@id='states']/tr[2]/td[2],UPS,//tbody[@id='shipping']/tr[2]/td[2],Datatel-Caledon,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[11]/tr/td[2],NET30,//tbody[@id='receivables']/tr[2]/td[2],"January 30, 2015",//div[@id='wid-id-1']/div/div[2]/div/table/thead/tr/th[5]
Shipping,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[6]/tr/td/strong/div,Sales Tax,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[4]/tr/td/strong/div,Accounting,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[3]/td[2],Missouri,//tbody[@id='states']/tr[3]/td[2],,,Cash,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[12]/tr/td[2],PR ACCOUNT,//tbody[@id='receivables']/tr[3]/td[2],"January 31, 2015",//div[@id='wid-id-1']/div/div[2]/div/table/thead/tr/th[6]
Payments,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[9]/tr/td/strong/div,Shipping,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[6]/tr/td/strong/div,Courtesy Discount,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[4]/td[2],Texas,//tbody[@id='states']/tr[4]/td[2],,,Check,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[13]/tr/td[2],Unpaid Balance,//tbody[@id='receivables']/tr[4]/td[2],,
Accounts Receivables,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[18]/tr/td/strong/div,Paid Receivables,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[8]/tr/td/strong,Coupon Code,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[5]/td[2],,,,,Paypal,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[14]/tr/td[2],,,,
Date,//div[@id='wid-id-1']/div/div[2]/div/table/thead/tr/th[5],Payments,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[9]/tr/td/strong/div,Discount for Error,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[6]/td[2],,,,,Store Credit,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[15]/tr/td[2],,,,
,,Credit Memo,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[17]/tr/td/strong,Company or Employee Discount,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[7]/td[2],,,,,EFT,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[16]/tr/td[2],,,,
,,Accounts Receivables,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[18]/tr/td/strong/div,First-Time Order,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[8]/td[2],,,,,,,,,,
,,,,Manager Discount,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[9]/td[2],,,,,,,,,,
,,,,Marketing Sponsorship,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[10]/td[2],,,,,,,,,,
,,,,Price Match,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[11]/td[2],,,,,,,,,,
,,,,Reprint,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[12]/td[2],,,,,,,,,,
,,,,Trade Discount,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[13]/td[2],,,,,,,,,,
,,,,VIP,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[14]/td[2],,,,,,,,,,
,,,,Winback,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[3]/tr[15]/td[2],,,,,,,,,,
